status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
47298465905_10154462547435906,b'New study correlates hearing loss and dementia\n\nHearing loss is one of the most common health problems in the world. How do you fight it? \n\nSign up for a free consultation at: http://bit.ly/2omeT0A\n#brandvoice',b'Timeline Photos',photo,https://www.facebook.com/MalaysiaKini/photos/a.384186960905.170045.47298465905/10154462547435906/?type=3,2017-05-17 09:10:00,8,0,2
47298465905_10154463472470906,"b""Trump is not being allowed to do his job properly, due to 'political schizophrenia' in the US, says Russian president.""",b'Putin says can prove Trump did not pass Russia secrets',link,http://dlvr.it/P9NvqS,2017-05-17 08:27:12,64,11,6
47298465905_10154463391575906,b'The department says it will not hesitate to take action against officers found to have used violence against detainees in depots.',b'Immigration Dept probes allegations in UK report',link,http://dlvr.it/P9N9YS,2017-05-17 07:54:57,46,7,10
47298465905_10154463390620906,b'The Association of Banks in Malaysia says ATM and online banking services are operating as usual.',b'ABM: Ignore ransomware attack rumours',link,http://dlvr.it/P9N9M3,2017-05-17 07:54:51,42,7,22
47298465905_10154463389695906,"b'Abdul Rashid Abdul Rahman reminds new EC chief that his loyalty is to the people, not BN.'","b""Ex-EC chief tells latest EC chief not to be BN's lackey""",link,http://dlvr.it/P9N99N,2017-05-17 07:54:42,568,137,153
47298465905_10154463313015906,"b'The Asian Football Confederation says the match is now rescheduled to Oct 5, as it monitors the situation in N Korea in coming months.'","b""M'sia-N Korea football meet postponed - yet again""",link,http://dlvr.it/P9MVc7,2017-05-17 07:20:42,17,5,1
47298465905_10154463312800906,"b'A Bangladeshi man who worked at the Bandar Kinrara gambling joint, was also robbed during the incident, say police.'",b'Puchong rape victim lodges report',link,http://dlvr.it/P9MVL8,2017-05-17 07:20:37,128,1,20
47298465905_10154463228555906,"b'KiniTV BULLETIN: In the wake of the PKR-PAS fallout, PKR has instructed their party members in the Kelantan State Government to vacate their posts immediately.'",b'KiniFlash - 17 May: PKR pulls its members from Kelantan govt',link,http://www.kinitv.com/video/48365O120,2017-05-17 06:25:41,50,8,6
47298465905_10154463184590906,b'Fuel prices are set to end its three consecutive weeks of decline as the retail prices of RON95 and RON97 will go up by seven sen effective midnight.\n\nThe new retail price of RON95 and RON97 will be RM2.08 and RM2.36 per litre respectively.\n\nFULL STORY: https://www.malaysiakini.com/news/382568',b'Timeline Photos',photo,https://www.facebook.com/MalaysiaKini/photos/a.384186960905.170045.47298465905/10154463184590906/?type=3,2017-05-17 05:58:48,91,27,74
47298465905_10154463152060906,b'Video | KiniTV: Malay rights pressure group Perkasa leader Ibrahim Ali was unaware that Umno had signed a memorandum of understanding (MOU) with the Communist Party of China (CPC).',b'Perkasa unaware of Umno-CPC tie-up',link,http://www.kinitv.com/video/48360O8,2017-05-17 05:43:49,216,443,173
